manufacturer,substation_id,manufacturer_substation_id,raw_column_count,raw_sensor_columns,normal_event_count,fault_event_count,efd_possible_count,disturbance_count,common10_ready,dhw_supply_available,dhw_storage_available,dhw_return_available,multi_circuit_available,system_capability_group
M2,26,M2_26,23,s_dhw_supply_temperature_setpoint|outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_dhw_upper_storage_temperature_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,1,1,3,True,True,True,False,False,dhw_storage
M2,28,M2_28,14,outdoor_temperature|p_hc1_return_temperature|s_dhw_3-way_valve_status|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,1,0,2,True,False,False,False,False,heating_common_only
M2,30,M2_30,0,,0,0,0,14,False,False,False,False,False,heating_common_only
M2,31,M2_31,15,outdoor_temperature|s_hc1_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,0,0,0,True,False,False,False,False,heating_common_only
M2,35,M2_35,17,outdoor_temperature|p_hc1_return_temperature_setpoint|p_hc1_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,1,1,2,True,False,True,False,False,dhw_storage
M2,39,M2_39,17,outdoor_temperature|p_hc1_return_temperature_setpoint|p_hc1_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,3,1,5,True,False,True,False,False,dhw_storage
M2,40,M2_40,24,s_dhw_supply_temperature_setpoint|outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|p_dhw_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_dhw_upper_storage_temperature_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,2,0,0,2,True,True,True,True,False,dhw_storage_return
M2,41,M2_41,21,outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|p_hc1_return_temperature_setpoint|p_hc1_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,0,0,3,True,True,True,False,False,dhw_storage
M2,43,M2_43,20,outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,1,1,5,True,True,True,False,False,dhw_storage
M2,45,M2_45,16,outdoor_temperature|s_hc1_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature_setpoint|p_hc1_return_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,1,1,2,True,False,False,False,False,heating_common_only
M2,49,M2_49,22,outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|p_dhw_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,0,0,4,True,True,True,True,False,dhw_storage_return
M2,50,M2_50,17,outdoor_temperature|p_hc1_return_temperature_setpoint|p_hc1_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,3,1,16,True,False,True,False,False,dhw_storage
M2,52,M2_52,23,s_dhw_supply_temperature_setpoint|outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_dhw_upper_storage_temperature_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,4,1,1,10,True,True,True,False,False,dhw_storage
M2,53,M2_53,17,outdoor_temperature|p_hc1_return_temperature_setpoint|p_hc1_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,2,3,2,6,True,False,True,False,False,dhw_storage
M2,55,M2_55,30,outdoor_temperature|s_hc1_control_unit_mode|s_hc1.2_control_unit_mode|s_hc1.3_control_unit_mode|s_dhw_control_unit_mode|s_hc1.2_room_temperature_setpoint|s_hc1.3_room_temperature_setpoint|p_hc1_return_temperature|p_dhw_return_temperature|s_hc1.3_return_temperature|s_dhw_3-way_valve_status|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_hc1.3_control_valve_position|s_hc1_heating_pump_status_setpoint|s_hc1.2_heating_pump_status|s_hc1.3_heating_pump_status|s_hc1_supply_temperature_setpoint|s_hc1.2_supply_temperature_setpoint|s_hc1.3_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|s_hc1.3_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,0,0,1,True,True,False,True,True,dhw_supply
M2,57,M2_57,38,s_dhw_supply_temperature_setpoint|outdoor_temperature|outdoor_temperature.1|s_hc1_control_unit_mode|s_hc1.1_control_unit_mode|s_hc1.2_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|s_hc1.1_room_temperature_setpoint|s_hc1.2_room_temperature_setpoint|p_hc1_return_temperature_setpoint|p_hc1_return_temperature|s_hc1.1_return_temperature|s_hc1.2_return_temperature|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|s_hc1.1_control_valve_position|p_dhw_control_valve_position|s_hc1.2_control_valve_position|s_dhw_upper_storage_temperature_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1.1_heating_pump_status|s_hc1.2_heating_pump_status|s_hc1_supply_temperature_setpoint|s_hc1.1_supply_temperature_setpoint|s_hc1.2_supply_temperature_setpoint|s_hc1_supply_temperature|s_hc1.1_supply_temperature|s_dhw_supply_temperature|s_hc1.2_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,2,0,5,True,True,True,False,True,dhw_storage
M2,59,M2_59,15,outdoor_temperature|s_hc1_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,1,1,2,True,False,False,False,False,heating_common_only
M2,60,M2_60,23,s_dhw_supply_temperature_setpoint|outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_dhw_upper_storage_temperature_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,0,0,0,True,True,True,False,False,dhw_storage
M2,61,M2_61,15,outdoor_temperature|s_hc1_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,1,0,4,True,False,False,False,False,heating_common_only
